DATE;TIME;DAY;NAMESHORT_SB;SIGNAL;PRICE
2018-02-25;14:24;Sunday;CE.ST;SELL;0.690
2018-02-25;14:24;Sunday;SERT.ST;BUY;2.83
2018-02-25;14:54;Sunday;CE.ST;SELL;0.690
2018-02-25;14:54;Sunday;SERT.ST;BUY;2.83
2018-02-25;15:16;Sunday;CE.ST;SELL;0.690
2018-02-25;15:16;Sunday;SERT.ST;BUY;2.83
2018-02-25;15:24;Sunday;CE.ST;SELL;0.690
2018-02-25;15:24;Sunday;SERT.ST;BUY;2.83
2018-02-25;15:26;Sunday;CE.ST;SELL;0.690
2018-02-25;15:26;Sunday;SERT.ST;BUY;2.83
2018-02-25;15:51;Sunday;CE.ST;SELL;0.690
2018-02-25;15:51;Sunday;SERT.ST;BUY;2.83
2018-02-26;11:27;Monday;CE.ST;SELL;0.690
2018-02-26;11:27;Monday;SERT.ST;BUY;2.90
